Commit_Author_Login,Commit_Date,Lines_Added,Lines_Deleted
codal-devops,2020-05-07 08:17:44,3,1
codal-devops,2020-05-06 22:54:21,1,1
codal-devops,2020-05-06 22:50:39,0,1
codal-devops,2020-05-06 22:07:59,0,2
codal-devops,2020-05-06 22:07:26,1,1
codal-devops,2020-05-06 22:02:22,4,4
codal-devops,2020-05-06 22:00:28,2,0
codal-devops,2020-05-06 21:58:23,5,5
codal-devops,2020-05-06 21:43:36,8,8
codal-devops,2020-05-06 21:32:08,0,4
codal-devops,2020-05-06 21:31:04,10,7
codal-devops,2020-05-06 20:32:39,1,1
codal-devops,2020-05-06 20:23:46,3,0
codal-devops,2020-05-06 20:07:20,8,25
codal-devops,2020-05-06 19:52:53,4,4
codal-devops,2020-05-06 19:50:02,2,0
codal-devops,2020-05-05 21:22:14,1,1
codal-devops,2020-05-05 21:21:25,1,1
codal-devops,2020-05-05 20:39:07,1,1
codal-devops,2020-05-05 20:37:57,1,1
codal-devops,2020-05-05 17:42:28,17,0
codal-devops,2020-05-05 17:36:49,13,5
codal-devops,2020-05-01 13:44:30,0,94
codal-devops,2020-05-01 12:40:05,12,12
codal-devops,2020-05-01 12:38:51,94,0
codal-devops,2020-05-01 10:49:58,12,2
