Commit_Author_Login,Commit_Date,Lines_Added,Lines_Deleted
codal-jsojitra,2020-09-28 11:21:50,15,7
codal-jsojitra,2020-09-28 11:10:36,2,1
codal-jsojitra,2020-09-05 06:52:09,27,5
codal-jsojitra,2020-08-04 05:15:18,10,10
codal-jsojitra,2020-08-03 07:15:05,106,113
codal-jsojitra,2020-08-03 06:27:03,44,57
codal-jsojitra,2020-08-03 06:13:03,58,47
codal-jsojitra,2020-08-03 05:52:03,4,4
codal-jsojitra,2020-08-03 05:49:26,7,7
codal-jsojitra,2020-08-03 05:47:26,8,11
codal-jsojitra,2020-08-03 05:44:37,59,63
codal-jsojitra,2020-08-03 04:27:45,122,256
codal-jsojitra,2020-08-02 06:59:08,53,52
codal-jsojitra,2020-08-02 04:51:50,77,31
codal-jsojitra,2020-07-31 15:46:29,54,29
codal-jsojitra,2020-07-31 14:41:23,9,18
codal-jsojitra,2020-07-01 05:47:36,18,29
codal-jsojitra,2020-06-25 07:33:49,2,2
codal-jsojitra,2020-06-15 10:44:25,3,3
codal-jsojitra,2020-06-15 10:42:22,3,3
codal-jsojitra,2020-06-12 10:32:22,40,41
codal-jsojitra,2020-06-12 10:15:26,44,112
codal-jsojitra,2020-06-12 10:02:18,8,6
codal-jsojitra,2020-06-12 10:01:21,893,1109
codal-jsojitra,2020-06-03 06:09:27,2,2
codal-jsojitra,2020-05-22 10:58:58,343,214
codal-jsojitra,2020-05-21 11:55:16,91,14
codal-jsojitra,2020-05-20 11:19:26,2,2
codal-jsojitra,2020-05-20 10:19:22,178,81
codal-jsojitra,2020-05-18 10:46:01,10,11
codal-jsojitra,2020-05-18 10:31:48,6,3
codal-jsojitra,2020-05-14 11:43:57,1,4
codal-jsojitra,2020-05-14 11:40:20,35,6
codal-jsojitra,2020-05-13 11:27:33,315,254
codal-jsojitra,2020-05-13 09:52:41,294,87
codal-jsojitra,2020-05-13 07:53:41,347,101
codal-jsojitra,2020-05-13 05:09:38,3,13
codal-jsojitra,2020-05-12 13:53:34,49,17
codal-jsojitra,2020-05-12 13:37:59,4,19
codal-jsojitra,2020-05-12 13:32:49,11,10
