Commit_ID,Commit_Author_Login,File_Name,Additions,Changes,Deletions
2457bf1d53b0e91aa69c644fce6af71b87fb78c3,codal-sid,frontend/src/App.js,2,2,0
2457bf1d53b0e91aa69c644fce6af71b87fb78c3,codal-sid,frontend/src/Pages/Projects/AddProject/Component/addProject.jsx,8,14,6
2457bf1d53b0e91aa69c644fce6af71b87fb78c3,codal-sid,frontend/src/Pages/Projects/ProjectDetails/Component/project.jsx,8,9,1
2457bf1d53b0e91aa69c644fce6af71b87fb78c3,codal-sid,frontend/src/Pages/Request/RequestList/Component/request.jsx,24,28,4
2457bf1d53b0e91aa69c644fce6af71b87fb78c3,codal-sid,frontend/src/common/Config.js,1,2,1
955e3d035a0a712c7dd8dcd5273d4df97ea7bd2f,codal-jsojitra,frontend/src/Pages/Projects/AddProject/Component/addProject.jsx,7,13,6
955e3d035a0a712c7dd8dcd5273d4df97ea7bd2f,codal-jsojitra,frontend/src/Pages/Projects/ProjectDetails/Component/project.jsx,8,9,1
27dd33af5e3662ea8fe04522fdd363a517298738,codal-jsojitra,frontend/src/Pages/Projects/AddProject/Component/addProject.jsx,2,3,1
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/mainapp/celery_app.py,4,4,0
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/mainapp/settings.py,2,2,0
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/requirements.txt,1,1,0
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/rptool/admin.py,1,2,1
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/rptool/migrations/0041_employee_slack_id.py,18,18,0
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/rptool/models.py,1,1,0
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/rptool/signals.py,48,49,1
541e7ee2eae7c96114cf85fdfa461a82ae4a2a60,codal-sid,backend/rptool/tasks.py,152,154,2
b21785d4b33553523807c4e49f07658157e0a301,pkiri-codal,backend/django.db,0,0,0
a784082ffd5f2cf3152513e7a22b4ab4ac5c56a5,pkiri-codal,backend/rptool/tasks.py,2,7,5
b946c55962967b1d42e6e5fd5c4d550f2ac1c7b2,pkiri-codal,backend/django.db,0,0,0
b946c55962967b1d42e6e5fd5c4d550f2ac1c7b2,pkiri-codal,backend/mainapp/celery_app.py,4,4,0
b946c55962967b1d42e6e5fd5c4d550f2ac1c7b2,pkiri-codal,backend/rptool/signals.py,4,6,2
b946c55962967b1d42e6e5fd5c4d550f2ac1c7b2,pkiri-codal,backend/rptool/tasks.py,91,143,52
d70070d8fc0e0acf6a1d24061a35ea3da6eb59f3,pkiri-codal,backend/rptool/signals.py,1,2,1
20c1c809ababff0877708513dd5bbe3f25031b2e,pkiri-codal,backend/rptool/signals.py,15,132,117
20c1c809ababff0877708513dd5bbe3f25031b2e,pkiri-codal,backend/rptool/tasks.py,114,115,1
8e165c446b30fee38fa68db452a7ecf73adc43cb,pkiri-codal,backend/rptool/signals.py,4,8,4
