Commit_Author_Login,Commit_Date,Lines_Added,Lines_Deleted
pkiri-codal,2020-09-16 06:53:13,0,0
pkiri-codal,2020-09-16 06:37:46,2,5
pkiri-codal,2020-09-15 15:08:03,99,54
pkiri-codal,2020-09-11 11:30:12,1,1
pkiri-codal,2020-09-11 11:17:12,129,118
pkiri-codal,2020-09-07 08:29:09,4,4
pkiri-codal,2020-08-31 22:20:35,0,1
pkiri-codal,2020-08-31 21:40:19,13,6
pkiri-codal,2020-08-31 15:17:03,4,4
pkiri-codal,2020-08-31 14:43:04,3,3
pkiri-codal,2020-08-31 14:37:40,84,97
pkiri-codal,2020-08-31 09:39:29,32,2
pkiri-codal,2020-08-31 09:25:35,93,12
pkiri-codal,2020-08-28 15:16:58,21,6
pkiri-codal,2020-08-28 12:00:10,22,0
pkiri-codal,2020-08-26 10:21:12,6,1
pkiri-codal,2020-08-07 12:50:06,3,2
pkiri-codal,2020-08-07 07:09:31,22,1
pkiri-codal,2020-08-04 07:39:02,0,0
pkiri-codal,2020-08-04 07:38:37,507,594
pkiri-codal,2020-07-31 10:36:37,1,0
pkiri-codal,2020-07-31 08:41:19,1,0
pkiri-codal,2020-07-24 08:34:25,3,3
pkiri-codal,2020-07-24 08:30:25,19,19
pkiri-codal,2020-07-24 08:25:18,21,17
pkiri-codal,2020-07-23 07:22:18,1,1
pkiri-codal,2020-07-16 09:21:59,1,1
pkiri-codal,2020-07-08 11:08:09,2,2
pkiri-codal,2020-07-06 08:13:32,8,7
pkiri-codal,2020-07-02 09:42:19,18,29
pkiri-codal,2020-06-26 12:54:41,5,4
pkiri-codal,2020-06-26 10:52:06,12,17
pkiri-codal,2020-06-26 05:01:03,1,16
pkiri-codal,2020-06-26 01:01:03,31,21
pkiri-codal,2020-06-25 21:28:37,2,2
pkiri-codal,2020-06-25 07:15:56,21,0
pkiri-codal,2020-06-10 13:00:49,1,1
pkiri-codal,2020-06-10 12:34:49,1,1
pkiri-codal,2020-06-10 12:21:15,2,7
pkiri-codal,2020-06-10 11:45:48,1,1
pkiri-codal,2020-06-10 11:45:12,6,1
pkiri-codal,2020-06-10 11:28:51,3,5
pkiri-codal,2020-06-10 11:03:17,7,10
pkiri-codal,2020-06-10 10:53:41,10,3
pkiri-codal,2020-06-10 08:21:21,3,0
pkiri-codal,2020-06-10 07:25:37,4,2
pkiri-codal,2020-06-10 07:20:26,1,2
pkiri-codal,2020-06-10 07:14:11,1,2
pkiri-codal,2020-06-10 07:11:04,3,3
pkiri-codal,2020-06-10 06:59:29,2,2
pkiri-codal,2020-06-10 06:52:07,8,8
pkiri-codal,2020-06-10 06:43:28,10,20
pkiri-codal,2020-06-10 06:02:10,3,3
pkiri-codal,2020-06-10 05:56:00,16,59
pkiri-codal,2020-06-09 06:43:15,6,3
pkiri-codal,2020-06-08 13:48:16,60,4
pkiri-codal,2020-06-03 23:00:40,1,1
pkiri-codal,2020-06-03 09:45:30,49,5
pkiri-codal,2020-05-04 14:08:01,88,90
pkiri-codal,2020-05-04 13:29:46,3,3
pkiri-codal,2020-05-04 13:10:04,155,71
pkiri-codal,2020-05-04 10:39:57,3,3
pkiri-codal,2020-05-04 08:18:08,1,1
pkiri-codal,2020-05-04 07:09:38,1,1
pkiri-codal,2020-05-01 13:45:10,1,1
pkiri-codal,2020-05-01 13:10:45,1,1
pkiri-codal,2020-05-01 13:08:24,1,1
pkiri-codal,2020-05-01 13:07:18,106,12
pkiri-codal,2020-05-01 13:02:57,4,3
pkiri-codal,2020-05-01 12:29:52,3,2
pkiri-codal,2020-05-01 11:19:50,1,1
pkiri-codal,2020-05-01 11:18:10,2,2
pkiri-codal,2020-04-20 11:12:29,1,1
pkiri-codal,2020-04-20 10:04:09,560,148
pkiri-codal,2020-04-20 05:30:09,6,38
pkiri-codal,2020-04-17 11:41:09,1575,238
pkiri-codal,2020-04-14 13:37:25,931,233
pkiri-codal,2020-04-13 10:10:21,1,1
pkiri-codal,2020-04-13 09:40:52,572,212
pkiri-codal,2020-04-09 14:51:00,863,492
pkiri-codal,2020-04-08 10:59:00,338,176
pkiri-codal,2020-04-06 10:45:48,1495,1206
pkiri-codal,2020-03-30 10:32:35,93,102
pkiri-codal,2020-03-27 16:35:33,399,212
