Commit_Author_Login,Commit_Date,Lines_Added,Lines_Deleted
sshaikhcodal,2020-06-03 11:27:18,1,1
sshaikhcodal,2020-06-02 12:46:04,0,2
sshaikhcodal,2020-06-02 12:32:35,0,0
sshaikhcodal,2020-06-02 12:21:27,4,7
sshaikhcodal,2020-06-02 11:37:06,45,60
sshaikhcodal,2020-06-01 12:32:11,61,41
sshaikhcodal,2020-05-29 11:08:35,69,1
sshaikhcodal,2020-05-08 09:17:21,3,0
sshaikhcodal,2020-05-06 11:57:31,6,0
sshaikhcodal,2020-05-06 09:59:49,8,6
sshaikhcodal,2020-05-05 13:14:36,12,0
sshaikhcodal,2020-04-15 11:24:29,7,1
sshaikhcodal,2020-04-14 13:07:28,2,1
sshaikhcodal,2020-04-13 09:58:05,1,1
sshaikhcodal,2020-04-13 07:13:13,1,1
sshaikhcodal,2020-04-13 06:58:24,4,6
sshaikhcodal,2020-04-13 06:36:32,27,3
